epoch,accuracy,loss,val_accuracy,val_loss
0,0.03267974033951759,3.7608110904693604,0.06439393758773804,3.680344581604004
1,0.08169934898614883,3.6002707481384277,0.13257575035095215,3.4593875408172607
2,0.15604574978351593,3.3417022228240967,0.1666666716337204,3.3233468532562256
3,0.22753268480300903,3.038831949234009,0.15909090638160706,3.161552906036377
4,0.28921568393707275,2.7293813228607178,0.24621212482452393,3.006895065307617
5,0.36642158031463623,2.4354279041290283,0.2537878751754761,3.000145196914673
6,0.44076797366142273,2.1607377529144287,0.2537878751754761,2.9644973278045654
7,0.522467315196991,1.881408929824829,0.2651515007019043,3.253096103668213
8,0.6033496856689453,1.617218017578125,0.2537878751754761,3.1076831817626953
9,0.6817810535430908,1.3802125453948975,0.22727273404598236,3.299765110015869
10,0.7675653696060181,1.1603162288665771,0.22727273404598236,3.428316116333008
11,0.8141340017318726,1.0107992887496948,0.24242424964904785,3.3293681144714355
12,0.860702633857727,0.8712232112884521,0.24242424964904785,3.494760513305664
13,0.905637264251709,0.7511871457099915,0.2083333283662796,3.6142449378967285
14,0.9142156839370728,0.6846870183944702,0.24242424964904785,3.5450544357299805
15,0.9346405267715454,0.6095191836357117,0.24621212482452393,3.4407973289489746
16,0.9595588445663452,0.5343438386917114,0.2613636255264282,3.5232603549957275
17,0.9718137383460999,0.48455217480659485,0.21212121844291687,3.647213935852051
18,0.968137264251709,0.4681848883628845,0.2234848439693451,3.5167183876037598
19,0.9791666865348816,0.4290483891963959,0.2651515007019043,3.5515308380126953
