epoch,accuracy,loss,val_accuracy,val_loss
0,0.02777777798473835,3.771752119064331,0.05681818351149559,3.718043565750122
1,0.053513072431087494,3.6517696380615234,0.06439393758773804,3.527230978012085
2,0.08169934898614883,3.4913508892059326,0.11742424219846725,3.4044227600097656
3,0.1200980395078659,3.3707733154296875,0.15530303120613098,3.268306016921997
4,0.14910130202770233,3.244459867477417,0.1515151560306549,3.2953855991363525
5,0.1776960790157318,3.1170144081115723,0.17424242198467255,3.1303935050964355
6,0.2181372493505478,2.968064308166504,0.21969696879386902,3.042532205581665
7,0.24836601316928864,2.8272061347961426,0.2348484843969345,2.964686155319214
8,0.2908496856689453,2.678953170776367,0.24621212482452393,2.885944128036499
9,0.30106207728385925,2.5792934894561768,0.2537878751754761,2.8442115783691406
10,0.3345588147640228,2.4651575088500977,0.2537878751754761,2.83607816696167
11,0.35580065846443176,2.3666796684265137,0.2651515007019043,2.7460250854492188
12,0.379084974527359,2.26053786277771,0.2916666567325592,2.827918767929077
13,0.39828431606292725,2.160935401916504,0.28409090638160706,2.7592551708221436
14,0.43014705181121826,2.0948984622955322,0.28409090638160706,2.8261663913726807
